word,count,reason
        FAMILY,957,lexical
       ITALIAN,588,follL
      CATHOLIC,369,lexical
           RAN,272,lexical
      FAMILIES,184,lexical
   GRANDMOTHER,170,CMU
       SPANISH,138,follV
         MARRY,130,-arry
           PAL,129,follL
         ALLEY,126,follL
    BASKETBALL,125,sC
          MATH,118,lexical
      ITALIANS,115,follL
        PLANET,108,follV
           GAS,108,lexical
     MASTERMAN,87,sC
         BEGAN,85,lexical
          ANNE,81,lexical
        VALLEY,78,follL
   PERSONALITY,75,follL
      MANAYUNK,70,follV
        DAMAGE,60,follV
       TRAFFIC,50,follV
          SWAM,50,lexical
       ANIMALS,49,follV
       JANUARY,48,lexical
        CAMERA,43,lexical
            AL,39,follL
        MASTER,38,sC
      ATLANTIC,37,CMU
        CANADA,37,follV
         JANET,37,follV
      FAMILY'S,37,lexical
         ALICE,36,follL
       MANAGER,36,follV
        FASTER,36,sC
        MALLET,35,follL
       ASPIRIN,35,lexical
         ANNIE,34,lexical
        MANAGE,32,follV
      CLASSIFY,30,follV
        TASKER,30,sC
       BALANCE,28,follL
 GRANDMOTHER'S,27,CMU
   NATIONALITY,27,follL
       JANITOR,26,follV
      HISPANIC,25,follV
    MANAGEMENT,25,follV
       ALCOHOL,24,follL
       CHANNEL,24,follV
     CATHOLICS,24,lexical
        CASTLE,24,sC
        PASTOR,24,sC
       PLASTER,24,sC
       PLASTIC,24,sC
         LARRY,23,-arry
       PLANETS,23,follV
      ASTERISK,23,sC
         RALPH,22,follL
          ALAS,22,lexical
     FANTASTIC,22,sC
       MASTERS,22,sC
        PALACE,21,follL
       CLASSIC,21,follV
        LASTED,21,sC
         NASTY,21,sC
        DALLAS,20,follL
          ALEX,19,follL
      HALLAHAN,19,follL
        ANNUAL,19,lexical
         HARRY,18,-arry
         SALAD,18,follL
        ANIMAL,18,follV
       PASSAGE,18,follV
          EXAM,18,lexical
        GALLON,17,follL
           SAL,17,follL
      CLASSICS,17,follV
       FLANNEL,17,follV
      ASTEROID,17,sC
       GALLERY,16,follL
 NATIONALITIES,16,follL
         VALUE,16,follL
     CATHERINE,16,follV
      MASTER'S,16,sC
        RASCAL,16,sC
     ADVANTAGE,15,CMU
        SALARY,15,follL
        ASPECT,15,sC
       BASKETS,15,sC
        ALBERT,14,follL
        VALUES,14,follL
   FASCINATING,14,follV
        AFRICA,13,CMU
      MECHANIC,13,follV
        BASKET,13,sC
       MASSIVE,12,follV
        PACIFY,12,follV
      PASSYUNK,12,follV
       REALITY,11,follL
       ALGEBRA,10,follL
     ALLEGHENY,10,follL
         CANAL,10,follL
       LASALLE,10,follL
       GRAPHIC,10,follV
         PANIC,10,follV
        CALVIN,9,follL
     CLASSICAL,9,follV
        HASSLE,9,follV
       ASPECTS,9,sC
     ASTEROIDS,9,sC
      ALLEYWAY,8,follL
        ALLIES,8,follL
     CHALLENGE,8,follL
          ACID,8,follV
       DAMAGED,8,follV
       HALFIES,8,follV
        ANNE'S,8,lexical
      MARRYING,7,-arry
       FANTASY,7,CMU
        TALENT,7,follL
       MANAGED,7,follV
       MANNERS,7,follV
        ALASKA,7,sC
      DISASTER,7,sC
     ALLENTOWN,6,follL
        ALLEYS,6,follL
      ALPHABET,6,follL
    CHALLENGED,6,follL
     SALVATORE,6,follL
      TALENTED,6,follL
           VAL,6,follL
      VALUABLE,6,follL
       CASSIDY,6,follV
      CHANNELS,6,follV
      MANAGERS,6,follV
        PANAMA,6,follV
        CASKET,6,sC
        CASPER,6,sC
   DRASTICALLY,6,sC
         ALLEN,5,follL
 PERSONALITIES,5,follL
         SALLY,5,follL
      SCALLION,5,follL
       ANALYZE,5,follV
        ATHENS,5,follV
      GASOLINE,5,follV
GEOGRAPHICALLY,5,follV
      HAMILTON,5,follV
    MECHANICAL,5,follV
     MECHANICS,5,follV
     PASSENGER,5,follV
       CAMERAS,5,lexical
        JOANNE,5,lexical
       BASTARD,5,sC
       FASTEST,5,sC
    GYMNASTICS,5,sC
     SARCASTIC,5,sC
  GRANDMOTHERS,4,CMU
       GRANTED,4,CMU
       PLANTED,4,CMU
         ALPHA,4,follL
       CALIBER,4,follL
      SALARIES,4,follL
       SALVAGE,4,follL
       SHALLOW,4,follL
   VALENTINE'S,4,follL
    AMBASSADOR,4,follV
         CAMEL,4,follV
      CERAMICS,4,follV
      GRAPHICS,4,follV
      HAMMER'S,4,follV
     HAMMERING,4,follV
       HAMMERS,4,follV
    HUMANITIES,4,follV
       KATHY'S,4,follV
         PANEL,4,follV
      PANELING,4,follV
      PANICKED,4,follV
       PASSIVE,4,follV
         EXAMS,4,lexical
       BLASTED,4,sC
      PASSPORT,4,sC
     CANDIDATE,3,CMU
  DISADVANTAGE,3,CMU
          ALBA,3,follL
         ALBUM,3,follL
       ALLEY'S,3,follL
        BALLOT,3,follL
      CALENDAR,3,follL
       GALLONS,3,follL
   HOSPITALITY,3,follL
       MALCOLM,3,follL
      MALLET'S,3,follL
       MALLETS,3,follL
       PALACES,3,follL
       VALERIE,3,follL
   AFGHANISTAN,3,follV
  BIOGRAPHICAL,3,follV
        CANNOT,3,follV
      CLASSIER,3,follV
      EXAMINER,3,follV
      HAMMERED,3,follV
      MANICURE,3,follV
